Animal_ID,Found_Address
A679750,14311 Wells Port in Austin (TX)
A679750,14311 Wells Port in Austin (TX)
A679750,14311 Wells Port in Austin (TX)
A679750,1779 Wells Branch Parkway in Austin (TX)
A679750,1779 Wells Branch Parkway in Austin (TX)
A679750,1779 Wells Branch Parkway in Austin (TX)
A679750,Austin (TX)
A679750,Austin (TX)
A679750,Austin (TX)
A697437,11400 Concordia University Dr. in Austin (TX)
A737615,Austin (TX)
A689061,W 6Th St And N Lamar Blvd in Austin (TX)
A702984,19211 Blake Manor Rd in Manor (TX)
A665003,14100 Thermal Driver in Austin (TX)
A674790,E Stassney Ih 35 in Austin (TX)
A737050,Travis (TX)
A545301,Austin (TX)
A682572,12027 Bethel Church Rd. in Travis (TX)
A663178,71 & Spirt Of Texas Hwy in Austin (TX)
A703159,7201 Levander Loop in Austin (TX)
A684929,Austin (TX)
A730313,8724 Birmingham in Austin (TX)
A703802,1300 Fm 812 in Austin (TX)
A713447,13021 Dessau Rd in Travis (TX)
A706994,Georgian And Highway 183 in Austin (TX)
A705561,Loyola /Moonglow in Austin (TX)
A671854,Austin (TX)
A720249,13924 Marcella in Travis (TX)
A732176,Hwy 183 And Hwy 130 in Austin (TX)
A665696,1517 Geoffs Dr in Austin (TX)
A715760,Austin (TX)
A693407,9805 Bal Harbor in Travis (TX)
A736839,Austin (TX)
A736839,Austin (TX)
A736839,Outside Jurisdiction
A736839,Outside Jurisdiction
A677198,509 Montopolis Dr in Austin (TX)
A713150,3400 S Congress Ave in Austin (TX)
A684423,8900 Coulver Rd in Travis (TX)
A735361,5400 Pecan Brook in Austin (TX)
A723775,1420 E Wells Branch Pkwy in Austin (TX)
A701589,11601 Domain Dr in Austin (TX)
A704776,Austin (TX)
A735930,Dessau Rd And Shropshire Blvd in Austin (TX)
A735930,Dessau Rd And Shropshire Blvd in Austin (TX)
A735930,Austin (TX)
A735930,Austin (TX)
A739323,710 E Ben White Blvd in Austin (TX)
A739323,710 E Ben White Blvd in Austin (TX)
A739323,13768 Research Blvd in Austin (TX)
A739323,13768 Research Blvd in Austin (TX)
A631277,Austin (TX)
A669612,9913 Morgan Creek Dr in Austin (TX)
A690140,12508 Esplanade St in Austin (TX)
A691218,Valleyridge Dr & S Oak Dr in Austin (TX)
A691218,Valleyridge Dr & S Oak Dr in Austin (TX)
A691218,Valleyridge Dr & S Oak Dr in Austin (TX)
A691218,Valleyridge Dr & S Oak Dr in Austin (TX)
A691218,Valleyridge Dr & S Oak Dr in Austin (TX)
A691218,3603 South Ridge Dr in Austin (TX)
A691218,3603 South Ridge Dr in Austin (TX)
A691218,3603 South Ridge Dr in Austin (TX)
A691218,3603 South Ridge Dr in Austin (TX)
A691218,3603 South Ridge Dr in Austin (TX)
A691218,3300 Dolphin Drive in Austin (TX)
A691218,3300 Dolphin Drive in Austin (TX)
A691218,3300 Dolphin Drive in Austin (TX)
A691218,3300 Dolphin Drive in Austin (TX)
A691218,3300 Dolphin Drive in Austin (TX)
A691218,3603 Southridge Dr in Austin (TX)
A691218,3603 Southridge Dr in Austin (TX)
A691218,3603 Southridge Dr in Austin (TX)
A691218,3603 Southridge Dr in Austin (TX)
A691218,3603 Southridge Dr in Austin (TX)
A691218,1502 Summer Stone Dr in Austin (TX)
A691218,1502 Summer Stone Dr in Austin (TX)
A691218,1502 Summer Stone Dr in Austin (TX)
A691218,1502 Summer Stone Dr in Austin (TX)
A691218,1502 Summer Stone Dr in Austin (TX)
A664646,Airport And Springdale in Austin (TX)
A713803,1457 W Pecan St in Pflugerville (TX)
A662170,Austin (TX)
A662170,Austin (TX)
A662170,Austin (TX)
A662170,Austin (TX)
A662170,Austin (TX)
A662170,Austin (TX)
A701059,107 E. Wheeler St in Manor (TX)
A740217,1511 Faro Drive in Austin (TX)
A662319,10928 Desert Willow Dr in Austin (TX)
A731422,5365 Westminster Ave in Austin (TX)
A664824,1705 Barrilla St {Bull Creek Area) in Austin (TX)
A664824,1705 Barrilla St {Bull Creek Area) in Austin (TX)
A664824,10703 San Jose in Del Valle (TX)
A664824,10703 San Jose in Del Valle (TX)
A690251,45Th And Mopac in Austin (TX)
A734996,124 W Anderson Ln in Austin (TX)
A713788,11100 Metric in Austin (TX)
A699366,6205 Marigold in Austin (TX)
A710285,9505 Stonelake Blvd in Austin (TX)
A672007,Austin (TX)
A728842,9515 Hotel Dr in Austin (TX)
